,batch,day,action,reward,money,position,total
0,0,0,0,-0.301,6604.5,100,10000.0
1,0,1,1,0.0,6604.5,100,9864.9
2,0,2,0,-0.126,3352.8,200,9856.2
3,0,3,1,0.0,3352.8,200,9683.2
4,0,4,2,-1.254,6509.3,100,9665.8
5,0,5,1,0.0,6509.3,100,9730.9
6,0,6,1,0.0,6509.3,100,9700.8
7,0,7,0,-0.208,3292.6,200,9726.0
8,0,8,1,0.0,3292.6,200,9976.6
9,0,9,2,-2.764,6641.4,100,9990.2
10,0,10,2,-1.71,10210.3,0,10210.3
11,0,11,1,0.0,10210.3,0,10210.3
12,0,12,1,0.0,10210.3,0,10210.3
13,0,13,1,0.0,10210.3,0,10210.3
14,0,14,1,0.0,10210.3,0,10210.3
15,0,15,1,0.0,10210.3,0,10210.3
16,0,16,1,0.0,10210.3,0,10210.3
17,0,17,0,-0.893,6563.2,100,10210.3
18,0,18,1,0.0,6563.2,100,10358.9
19,0,19,1,0.0,6563.2,100,10290.0
20,0,20,2,-0.612,10447.4,0,10447.4
21,0,21,1,0.0,10447.4,0,10447.4
22,0,22,0,-0.301,6602.6,100,10447.4
23,0,23,2,-1.763,10392.5,0,10392.5
24,0,24,1,0.0,10392.5,0,10392.5
25,0,25,1,0.0,10392.5,0,10392.5
26,0,26,1,0.0,10392.5,0,10392.5
27,0,27,1,0.0,10392.5,0,10392.5
28,1,0,1,0.0,10000.0,0,10000.0
29,1,1,1,0.0,10000.0,0,10000.0
30,1,2,0,-2.317,5589.3,100,10000.0
31,1,3,0,-0.243,1221.3,200,9957.3
32,1,4,2,-2.463,5376.5,100,9531.7
33,1,5,1,0.0,5376.5,100,9650.7
34,1,6,1,0.0,5376.5,100,9753.7
35,1,7,1,0.0,5376.5,100,9656.1
36,1,8,1,0.0,5376.5,100,9499.2
37,1,9,2,-1.443,9569.6,0,9569.6
38,1,10,0,0.194,5388.6,100,9569.6
39,1,11,0,-0.952,1133.3,200,9643.9
40,1,12,2,0.268,5440.1,100,9746.9
41,1,13,1,0.0,5440.1,100,9834.8
42,1,14,0,-1.316,1255.3,200,9624.9
43,1,15,2,-0.505,5557.7,100,9860.1
44,1,16,2,-1.798,9786.3,0,9786.3
45,1,17,1,0.0,9786.3,0,9786.3
46,1,18,0,-1.113,5476.6,100,9786.3
47,1,19,1,0.0,5476.6,100,9797.5
48,1,20,0,-1.268,1249.5,200,9703.7
49,1,21,1,0.0,1249.5,200,9634.7
50,1,22,1,0.0,1249.5,200,9450.1
51,1,23,2,-1.472,5252.7,100,9255.9
52,1,24,0,-0.132,1102.4,200,9403.0
53,1,25,1,0.0,1102.4,200,9415.8
54,1,26,2,-2.128,5309.1,100,9515.8
55,1,27,2,-1.267,9659.6,0,9659.6
56,2,0,1,0.0,10000.0,0,10000.0
57,2,1,1,0.0,10000.0,0,10000.0
58,2,2,0,-1.17,5849.7,100,10000.0
59,2,3,2,-0.262,10095.7,0,10095.7
60,2,4,1,0.0,10095.7,0,10095.7
61,2,5,1,0.0,10095.7,0,10095.7
62,2,6,1,0.0,10095.7,0,10095.7
63,2,7,0,-1.608,5872.0,100,10095.7
64,2,8,0,-0.928,1403.5,200,10340.5
65,2,9,1,0.0,1403.5,200,10087.9
66,2,10,1,0.0,1403.5,200,9996.7
67,2,11,2,1.301,5788.0,100,10172.5
68,2,12,0,-0.671,1407.4,200,10168.6
69,2,13,1,0.0,1407.4,200,9857.8
